概念名称,概念类型,涉及的基础指标,计算公式,时间范围,机构范围,单位转换,输出形式,来源问题编号,审核状态
存贷比,衍生指标,ZB002 各项贷款余额; ZB001 各项存款余额,ZB002 / ZB001 × 100%,指定日期,指定机构,基础指标同为亿元; 输出百分比,单值,TRAIN-M-25,待05号确认
风险指标,复合分析概念,ZB013 不良贷款率; ZB015 拨备覆盖率; ZB017 逾期贷款率; ZB016 资本充足率,不合并为单一公式,指定日期,指定机构,四项指标均按百分比展示,结构化列表并按题目要求附排名或比较,VAL-H-07,待05号确认
